# V    B-V
21.380 1.520
21.010 1.440
20.820 0.900
20.710 1.650
21.020 0.990
20.841 0.966
20.760 0.890
21.130 1.140
21.430 1.110
24.740 1.730
21.670 0.990
21.550 1.190
22.570 -0.370
21.670 2.170
20.740 1.840
21.150 1.040
21.180 2.080
22.500 -0.320
21.750 0.720
21.640 1.830
22.390 0.030
22.070 0.230
21.000 1.590
21.910 1.570
21.740 0.430
21.160 2.070
21.650 1.180
21.920 2.120
22.090 0.770
21.500 1.360
22.380 0.310
22.450 0.290
21.560 1.710
22.510 0.300
22.420 -0.320
21.160 1.100
22.310 0.460
21.930 0.570
21.260 2.520
21.860 1.570
22.550 0.300
21.210 1.950
12.760 0.550
12.839 0.532
12.787 0.547
15.770 0.950
15.781 0.981
14.210 0.720
14.183 0.711
14.205 0.701
14.169 0.718
14.540 0.730
14.516 0.737
14.545 0.701
14.494 0.741
15.740 0.910
15.708 0.907
15.774 0.869
15.697 0.891
15.729 0.903
16.410 1.060
15.800 1.090
15.779 1.068
15.820 1.087
15.614 0.861
15.107 0.777
15.148 0.755
15.119 0.784
16.412 1.082
16.301 1.023
15.141 0.878
15.074 0.878
15.055 0.910
14.564 0.684
14.553 0.680
15.864 0.770
15.866 0.771
15.376 0.835
15.365 0.822
15.368 0.810
16.169 0.747
16.162 0.743
14.972 0.765
14.979 0.751
14.966 0.743
16.645 1.007
15.515 0.570
15.519 0.575
16.157 0.989
16.149 1.005
15.696 0.902
15.717 0.897
14.693 0.632
14.616 0.679
16.280 1.128
14.380 0.709
14.632 0.829
14.638 0.820
15.371 0.887
15.414 0.892
15.378 0.887
14.130 0.620
14.122 0.606
14.113 0.600
14.106 0.594
15.296 0.603
15.303 0.582
16.362 1.059
16.309 1.006
16.321 1.033
14.177 0.665
14.179 0.636
14.181 0.661
16.678 1.119
16.668 1.120
14.481 0.670
14.493 0.666
14.464 0.661
14.695 0.761
14.702 0.749
16.600 1.141
16.586 1.113
16.557 1.095
14.513 0.706
14.540 0.690
15.609 0.950
15.920 0.935
15.628 0.907
16.504 1.243
14.537 0.587
14.555 0.555
15.361 0.630
14.105 0.734
15.415 0.832
14.632 0.813
15.097 1.190
14.475 0.628
14.704 0.718
16.351 0.630
15.927 0.936
16.079 0.617
16.155 0.828
13.949 0.849
14.916 0.735
14.528 0.665
