# V     B-V
19.1960 0.4994
18.3066 0.371
18.4525 0.4776
19.3428 0.8733
18.3589 0.3622
14.8721 0.7659
18.1395 0.4059
18.5621 0.4576
19.7972 1.5193
18.6930 0.4605
18.4532 0.4164
20.0478 0.5565
19.5023 1.6473
19.5716 0.5173
18.0439 0.4652
20.0674 0.5734
19.3667 0.4347
18.2072 0.4538
19.4994 0.4833
18.5107 0.4328
19.3075 0.4395
18.2772 0.451
18.1824 0.4461
19.9357 0.5144
23.1232 0.5342
18.6573 0.4481
19.2277 0.47
18.8621 0.3874
19.9695 1.4777
18.2784 0.3777
19.9304 0.5734
19.5907 0.5612
18.9144 0.4097
19.6219 0.4633
20.2505 0.7131
16.2984 0.7204
18.9476 0.4385
20.0917 0.5612
17.6147 0.6906
19.1782 0.5351
16.4479 0.6725
18.6796 0.4039
18.8543 0.4135
18.9005 0.3446
18.9532 0.3534
19.2216 0.4766
20.6140 -1.5139
16.6149 0.7935
19.5630 0.425
19.6088 0.5088
19.5842 0.536
15.9785 0.7131
17.6513 0.5826
18.6863 0.4126
19.6914 0.4097
20.0716 0.5641
19.0654 0.4461
18.6191 0.3856
19.6401 0.5389
18.1957 0.4328
20.0340 0.5956
18.8019 0.4633
20.1663 0.6451
17.9224 0.4443
20.2277 0.6185
19.9008 0.613
15.6915 -0.0421
19.9104 0.5257
19.0905 0.4068
18.5039 0.5022
19.2323 0.4472
18.6688 0.4662
18.3293 0.4472
18.9593 0.3797
18.3183 0.3797
18.6645 0.4077
21.6596 0.1225
18.8576 0.3407
19.6625 0.4776
19.3265 0.4395
18.1858 0.4318
19.6661 0.4548
18.6257 0.3991
20.0842 0.6533
21.1840 -1.5648
19.8374 0.4443
20.4695 -1.071
18.6959 0.3612
14.9181 0.7668
19.7397 0.5135
20.1175 0.6278
18.1803 0.45
19.7653 0.5313
17.0736 0.697
17.5865 0.5687
18.6119 0.3933
19.4791 0.4965
17.7983 0.4889
17.8114 0.5266
19.3947 0.4328
19.6057 0.47
17.8344 0.5285
17.7387 0.5126
17.5055 0.6296
18.4918 0.3952
19.4136 0.5154
18.4710 0.4232
14.7396 0.0632
19.9949 0.5059
18.3787 0.4337
19.5481 0.4548
18.8100 0.4605
19.8633 0.6433
18.8905 0.4405
19.2321 0.4193
18.8490 0.3894
20.0959 0.9131
18.0875 0.4414
18.1315 0.3748
18.4961 0.4567
19.8672 0.2696
17.2439 0.6725
21.5325 -0.4991
19.4398 0.5547
15.4572 0.7401
18.2951 0.3563
18.2287 0.3982
19.4033 0.646
19.4444 0.5779
18.5596 0.5154
18.7865 0.4405
20.0814 0.4452
19.6352 0.4918
17.2278 0.678
19.1745 0.4423
19.5705 0.4804
18.6731 0.4203
19.8558 0.6103
17.7407 0.5621
14.1738 0.8942
17.7432 0.4174
18.5419 0.4261
19.5745 1.7923
19.0466 0.4385
19.7668 0.4662
18.0055 0.5201
18.1346 0.37
19.5343 0.4126
19.5766 0.4757
18.8663 0.4481
17.1488 0.6825
19.6823 0.449
14.8120 0.2245
19.3712 0.4909
18.6643 0.4135
17.9921 0.4576
20.0710 0.7713
19.5988 0.5097
18.1019 0.4279
20.1198 0.8436
18.5528 0.4318
19.0441 0.4947
18.8082 0.4174
20.4208 0.139
18.7848 1.7129
19.2390 0.5012
19.2767 0.4347
19.5344 0.5743
17.0701 0.6579
18.2298 0.4681
19.6793 0.5313
19.6792 0.536
19.0774 0.4814
17.8845 0.4405
17.8631 0.4965
14.9759 0.1173
18.6134 0.4452
18.3237 0.4719
19.6360 0.5974
17.7793 0.5323
18.9221 0.5407
19.0192 0.4155
18.7605 0.2884
18.3747 0.401
18.8501 0.4548
19.4523 0.449
19.5379 0.6761
18.2761 0.4557
20.1251 0.5416
16.1518 0.6842
17.8289 0.5482
18.0284 0.4443
18.7186 0.3719
19.1613 0.449
20.2596 0.6232
20.0922 0.4909
18.8230 0.4241
19.3587 0.471
18.8021 0.4947
18.2361 0.3865
18.8918 0.3971
19.2426 0.5163
17.9219 0.4261
18.8164 0.3777
18.8902 0.4519
16.9623 0.0883
20.2299 0.4261
17.6404 0.5761
19.7191 0.2993
19.9403 0.5835
19.3875 0.4405
18.9514 0.4433
20.7679 0.0569
18.6605 0.4423
15.9354 0.7204
19.3775 0.4423
19.9537 0.5603
18.0415 0.4423
19.9561 0.4937
19.0152 0.3836
18.3848 0.3952
18.5309 0.4261
19.5014 0.4842
19.7844 0.3777
19.7174 0.0872
15.7663 0.7365
20.3163 0.6406
17.6459 0.6039
19.8834 0.577
18.6057 0.369
18.9516 0.3719
18.0836 0.4366
20.7679 0.4633
18.0602 0.4519
18.3455 0.4776
18.9927 0.2825
18.6827 0.471
20.2674 -0.1514
17.0430 0.667
19.0694 0.4842
19.5878 0.3962
19.3265 0.3427
19.1947 0.5107
19.6304 0.5761
18.2963 0.3807
17.8654 0.4833
15.2816 -0.0767
19.8210 0.6625
19.6027 0.3982
20.3262 -1.3557
20.9647 0.3092
17.8973 0.5323
19.2717 0.3991
19.3074 0.5734
19.2587 0.5107
19.0152 0.3845
18.7818 0.4318
19.1378 0.5097
17.1089 0.6734
19.7185 1.0003
17.9507 0.5126
14.4057 -0.1569
18.5759 0.3612
18.6486 0.5182
18.6386 0.402
17.8119 0.505
19.8621 0.5416
18.1964 0.4452
20.4209 0.6743
18.7715 0.4414
19.2195 0.4776
19.1427 0.4728
20.8862 -1.5471
18.5153 0.3807
18.4335 0.4059
17.1726 0.6232
18.4153 0.3495
18.0460 0.4241
18.9008 0.429
15.4606 -0.0767
16.8702 0.6488
19.6926 0.5163
18.4302 0.647
18.8143 0.3486
18.7258 0.4318
19.0727 0.401
17.8236 0.5659
20.0258 0.4672
19.2045 0.3748
20.3032 0.647
17.8559 0.505
18.0705 0.3739
19.4284 0.5248
17.8340 0.5435
19.8360 0.328
12.6102 1.2971
18.4043 1.3953
17.9431 0.4548
20.0025 0.626
18.8500 0.5445
20.2343 0.3486
19.1284 0.7195
18.8804 0.4452
15.7504 0.7186
16.6415 0.706
14.8969 0.039
18.2035 0.4068
18.6287 0.4
18.8675 0.4423
18.7755 0.4414
18.3445 0.3739
16.0231 -0.1469
18.3187 0.368
19.1171 0.4965
18.3694 0.4433
20.3195 0.4795
14.4434 -0.3566
21.2752 -1.476
19.1279 0.3914
19.7221 0.4557
15.6211 0.7597
19.3267 0.1411
21.8370 -2.1792
20.1136 0.6961
19.4731 0.5928
19.1205 0.4423
19.9506 0.3407
19.7176 0.5154
19.3428 0.4662
19.6189 0.4251
19.3867 0.6149
15.3268 -0.1425
19.8425 0.626
19.0755 0.4077
19.5647 0.5144
19.2444 0.5743
18.5221 0.4965
20.0272 0.749
18.6632 0.4174
19.5079 1.6187
18.5953 0.4126
19.9945 0.3748
19.6531 0.5407
19.5680 0.4985
19.7914 0.4106
18.9964 0.4433
20.1097 0.4356
18.1481 0.4548
18.8992 0.4538
20.1893 0.5789
19.9884 0.4851
19.1708 0.4299
19.0992 0.451
17.3069 0.6066
15.8830 0.6643
18.2278 0.429
18.8539 0.3603
19.2782 0.451
19.6952 0.5369
19.3656 0.371
19.0319 0.4261
18.5845 0.4068
18.9774 0.4851
19.3039 0.4624
19.6146 0.4366
16.6098 0.6807
19.9671 0.3874
18.9444 0.4088
19.4434 0.5752
18.9206 0.4366
19.2941 0.4548
19.1213 0.5313
18.8456 0.2845
17.7522 0.5845
19.4767 0.6158
19.5838 0.4318
19.4887 0.5585
18.6572 0.5342
21.2181 -1.068
17.9877 0.4328
18.0417 0.4347
17.8364 0.4851
15.7573 0.0316
19.0857 0.4356
20.3411 0.7544
19.3064 0.4461
19.3596 0.4757
19.6874 0.4842
18.3021 0.4203
18.8775 0.522
18.7111 0.5398
15.3733 -0.0388
20.1638 0.6789
18.7543 0.3788
18.4910 0.4586
19.0348 0.4681
19.2645 0.4786
19.4713 0.5286
19.1947 -0.0626
16.5678 0.6789
19.0146 0.4376
20.3288 0.429
19.6299 0.3923
20.0943 1.3036
20.3614 0.6342
14.1041 0.7527
20.1389 0.6752
18.1795 0.4423
18.8935 0.3748
19.4425 0.3739
19.2504 0.4433
18.2696 0.3719
19.7742 0.5342
18.6905 0.3748
19.6235 1.5262
19.5867 0.5621
17.4235 0.6305
17.9320 0.4241
19.5768 2.4255
19.5124 0.4461
19.0071 0.3865
18.5088 0.4308
15.4672 0.7508
18.2557 0.368
20.6425 0.4423
17.7981 0.538
19.8693 0.449
18.1336 0.4029
19.9887 0.6176
18.3952 0.4164
18.2228 0.2805
19.1948 0.4318
21.2545 -1.4386
18.7999 0.427
19.4520 0.4605
19.8163 0.6451
19.9039 0.5491
18.9751 0.4576
16.0823 0.7356
18.6097 0.4719
19.5199 0.4624
17.5785 0.5696
19.6676 0.5659
19.9274 0.4814
18.6527 0.3991
20.3114 0.715
18.8967 0.4
19.1944 0.4824
18.7716 0.4029
19.0220 0.4614
18.5469 0.3914
20.9020 -1.3055
18.9661 0.4212
18.6551 0.4203
19.6206 0.6223
19.4266 0.5173
18.4145 0.4776
18.1627 0.4719
19.8283 0.5286
19.3742 1.6044
18.8191 0.4203
19.9681 0.4974
18.3951 0.4557
19.2552 1.5422
19.6579 0.427
18.8895 0.4395
19.2504 0.3768
18.9453 0.449
17.6225 1.5908
20.1038 0.3632
15.1278 0.3632
19.9089 0.6057
18.9210 0.4222
18.8302 0.4909
19.5042 0.5379
20.1325 0.5229
18.9233 0.3816
19.4336 1.4031
17.7091 0.657
18.6740 0.4586
18.9881 0.4548
18.4422 0.4909
17.6000 0.1779
20.6948 -1.4002
20.1927 0.5603
20.2549 0.9183
19.3908 0.4681
18.5135 0.3446
16.2987 0.6942
17.8491 0.4974
18.5183 0.3788
19.3737 0.6185
19.8232 0.5351
18.8433 0.4481
16.3129 0.6761
16.1157 -0.1859
19.9460 0.5472
19.2441 0.5407
19.0304 0.4851
18.7578 0.3642
17.8432 0.4909
17.9191 0.4965
18.9056 0.4748
18.2722 0.4519
17.6731 0.59
19.2044 0.4833
18.0934 0.4088
17.8948 0.4662
19.7197 0.4356
18.6673 0.4117
17.8370 0.4241
20.5529 -1.1288
19.9255 0.4786
20.4674 0.6378
19.4125 0.4059
19.9949 0.5059
18.8504 0.4433
19.3457 0.5135
18.2334 0.4097
19.6399 1.6577
19.7701 0.5928
19.9729 0.6707
13.4865 1.0029
19.1525 0.4395
17.8907 0.5116
19.0824 0.4833
15.4833 -0.0886
18.5227 0.3662
18.2371 0.4184
19.7731 0.5407
20.0628 0.6825
19.6784 0.5257
18.8368 0.4308
18.7772 0.3845
19.9419 0.6743
19.1671 0.4937
19.4966 0.4366
19.5634 0.4097
19.9692 0.5872
18.8929 0.427
19.5497 0.4328
19.5802 0.49
17.7091 0.5389
18.6457 0.3982
20.1265 1.4289
19.8099 0.4251
18.6882 0.4174
17.8777 0.5603
17.4493 0.6397
19.1721 0.4567
18.8761 0.4548
19.9336 0.6205
17.9390 0.4241
18.8278 0.4662
19.1845 0.522
19.5464 0.4106
20.3730 0.7713
18.6780 0.3289
19.2433 0.4889
19.8494 0.5257
19.4230 0.6643
19.3987 0.401
18.7733 0.449
17.8849 0.4633
19.7877 0.3991
19.6970 0.4605
17.7884 0.5761
17.9751 0.4947
19.7679 0.4633
14.9904 0.1482
19.5136 0.0253
19.6184 0.5752
16.5323 0.6451
18.3719 0.427
18.3087 0.4
18.9599 0.4261
18.8646 0.402
18.4683 0.45
19.7746 0.5659
18.5156 0.4385
17.9634 0.4814
